product_key,product_name,category,subcategory,cost,last_sales_date,recency_in_months,product_segments,total_orders,total_sales,total_quantity,total_customers,lifespan,avg_selling_price,avg_order_revenue,avg_monthly_revenue
140,Road-250 Black- 48,Bikes,Road Bikes,1555,2013-12-28,149,High-Performers,298,691213,298,289,23,2319.5,2319.5067,30052.7391
141,Road-250 Black- 52,Bikes,Road Bikes,1555,2013-12-25,149,High-Performers,319,734425,319,312,23,2302.3,2302.2727,31931.5217
142,Road-250 Black- 58,Bikes,Road Bikes,1555,2013-12-26,149,High-Performers,270,622026,270,265,23,2303.8,2303.8000,27044.6087
143,Road-250 Red- 58,Bikes,Road Bikes,1555,2013-12-27,149,High-Performers,306,702666,306,301,23,2296.3,2296.2941,30550.6957
144,Touring-3000 Blue- 44,Bikes,Touring Bikes,461,2013-12-28,149,Mid-Range,53,39326,53,53,11,742,742.0000,3575.0909
145,Touring-3000 Blue- 50,Bikes,Touring Bikes,461,2013-12-23,149,Mid-Range,48,35616,48,48,11,742,742.0000,3237.8182
146,Touring-3000 Blue- 54,Bikes,Touring Bikes,461,2013-12-17,149,Mid-Range,55,40810,55,55,11,742,742.0000,3710.0000
147,Touring-3000 Blue- 58,Bikes,Touring Bikes,461,2013-12-27,149,Mid-Range,57,42294,57,57,11,742,742.0000,3844.9091
148,Touring-3000 Blue- 62,Bikes,Touring Bikes,461,2013-12-23,149,Mid-Range,64,47488,64,64,10,742,742.0000,4748.8000
149,Touring-3000 Yellow- 44,Bikes,Touring Bikes,461,2013-12-28,149,Mid-Range,59,43778,59,59,10,742,742.0000,4377.8000
150,Touring-3000 Yellow- 50,Bikes,Touring Bikes,461,2013-12-27,149,Mid-Range,59,43778,59,59,11,742,742.0000,3979.8182
151,Touring-3000 Yellow- 54,Bikes,Touring Bikes,461,2013-12-09,149,Mid-Range,48,35616,48,48,10,742,742.0000,3561.6000
152,Touring-3000 Yellow- 58,Bikes,Touring Bikes,461,2013-12-27,149,Mid-Range,47,34874,47,47,11,742,742.0000,3170.3636
153,Touring-3000 Yellow- 62,Bikes,Touring Bikes,461,2013-12-26,149,Mid-Range,50,37100,50,50,11,742,742.0000,3372.7273
154,Touring-2000 Blue- 46,Bikes,Touring Bikes,755,2013-12-27,149,High-Performers,97,117855,97,97,11,1215,1215.0000,10714.0909
155,Touring-2000 Blue- 50,Bikes,Touring Bikes,755,2013-12-27,149,High-Performers,106,128790,106,106,11,1215,1215.0000,11708.1818
156,Touring-2000 Blue- 54,Bikes,Touring Bikes,755,2013-12-28,149,High-Performers,88,106920,88,88,11,1215,1215.0000,9720.0000
157,Touring-2000 Blue- 60,Bikes,Touring Bikes,755,2013-12-28,149,High-Performers,81,98415,81,81,11,1215,1215.0000,8946.8182
158,Touring-1000 Blue- 46,Bikes,Touring Bikes,1482,2013-12-23,149,High-Performers,177,421968,177,177,11,2384,2384.0000,38360.7273
159,Touring-1000 Blue- 50,Bikes,Touring Bikes,1482,2013-12-28,149,High-Performers,150,357600,150,150,11,2384,2384.0000,32509.0909
160,Touring-1000 Blue- 54,Bikes,Touring Bikes,1482,2013-12-27,149,High-Performers,160,381440,160,160,11,2384,2384.0000,34676.3636
161,Touring-1000 Blue- 60,Bikes,Touring Bikes,1482,2013-12-27,149,High-Performers,147,350448,147,147,11,2384,2384.0000,31858.9091
162,Touring-1000 Yellow- 46,Bikes,Touring Bikes,1482,2013-12-28,149,High-Performers,172,410048,172,170,11,2384,2384.0000,37277.0909
163,Touring-1000 Yellow- 50,Bikes,Touring Bikes,1482,2013-12-23,149,High-Performers,151,359984,151,150,11,2384,2384.0000,32725.8182
164,Touring-1000 Yellow- 54,Bikes,Touring Bikes,1482,2013-12-27,149,High-Performers,158,376672,158,158,11,2384,2384.0000,34242.9091
165,Touring-1000 Yellow- 60,Bikes,Touring Bikes,1482,2013-12-23,149,High-Performers,140,333760,140,140,11,2384,2384.0000,30341.8182
166,AWC Logo Cap,Clothing,Caps,7,2014-01-28,148,Mid-Range,2190,19710,2190,2132,12,9,9.0000,1642.5000
168,Bike Wash - Dissolver,Accessories,Cleaners,3,2014-01-28,148,Low-Performers,908,7272,909,875,12,8,8.0088,606.0000
174,Fender Set - Mountain,Accessories,Fenders,8,2014-01-28,148,Mid-Range,2121,46662,2121,2110,12,22,22.0000,3888.5000
233,Half-Finger Gloves- L,Clothing,Gloves,9,2014-01-28,148,Mid-Range,443,10632,443,437,12,24,24.0000,886.0000
234,Half-Finger Gloves- M,Clothing,Gloves,9,2014-01-28,148,Mid-Range,499,11976,499,488,12,24,24.0000,998.0000
235,Half-Finger Gloves- S,Clothing,Gloves,9,2014-01-25,148,Mid-Range,487,11688,487,478,12,24,24.0000,974.0000
244,Sport-100 Helmet- Black,Accessories,Helmets,13,2014-01-28,148,High-Performers,2085,72975,2085,2024,13,35,35.0000,5613.4615
245,Sport-100 Helmet- Blue,Accessories,Helmets,13,2014-01-28,148,High-Performers,2124,74375,2125,2049,13,35,35.0165,5721.1538
246,Sport-100 Helmet- Red,Accessories,Helmets,13,2014-01-28,148,High-Performers,2230,78050,2230,2147,13,35,35.0000,6003.8462
247,Hydration Pack - 70 oz.,Accessories,Hydration Packs,21,2014-01-28,148,Mid-Range,733,40315,733,719,12,55,55.0000,3359.5833
248,Long-Sleeve Logo Jersey- L,Clothing,Jerseys,38,2014-01-28,148,Mid-Range,452,22650,453,449,13,50,50.1106,1742.3077
249,Long-Sleeve Logo Jersey- M,Clothing,Jerseys,38,2014-01-28,148,Mid-Range,442,22100,442,436,13,50,50.0000,1700.0000
250,Long-Sleeve Logo Jersey- S,Clothing,Jerseys,38,2014-01-28,148,Mid-Range,429,21450,429,426,12,50,50.0000,1787.5000
251,Long-Sleeve Logo Jersey- XL,Clothing,Jerseys,38,2014-01-28,148,Mid-Range,413,20700,414,409,12,50,50.1211,1725.0000
259,Patch Kit/8 Patches,Accessories,Tires and Tubes,1,2014-01-28,148,Low-Performers,3189,6378,3189,2948,12,2,2.0000,531.5000
260,Hitch Rack - 4-Bike,Accessories,Bike Racks,45,2014-01-28,148,Mid-Range,327,39240,327,324,12,120,120.0000,3270.0000
272,Women's Mountain Shorts- L,Clothing,Shorts,26,2014-01-28,148,Mid-Range,363,25410,363,363,12,70,70.0000,2117.5000
273,Women's Mountain Shorts- M,Clothing,Shorts,26,2014-01-26,148,Mid-Range,352,24640,352,352,12,70,70.0000,2053.3333
274,Women's Mountain Shorts- S,Clothing,Shorts,26,2014-01-28,148,Mid-Range,304,21280,304,304,12,70,70.0000,1773.3333
275,Short-Sleeve Classic Jersey- L,Clothing,Jerseys,42,2014-01-26,148,Mid-Range,374,20196,374,372,12,54,54.0000,1683.0000
276,Short-Sleeve Classic Jersey- M,Clothing,Jerseys,42,2014-01-27,148,Mid-Range,407,21978,407,404,12,54,54.0000,1831.5000
277,Short-Sleeve Classic Jersey- S,Clothing,Jerseys,42,2014-01-28,148,Mid-Range,406,21924,406,402,12,54,54.0000,1827.0000
278,Short-Sleeve Classic Jersey- XL,Clothing,Jerseys,42,2014-01-28,148,Mid-Range,409,22086,409,405,12,54,54.0000,1840.5000
279,Racing Socks- L,Clothing,Socks,3,2014-01-27,148,Low-Performers,270,2430,270,269,12,9,9.0000,202.5000
280,Racing Socks- M,Clothing,Socks,3,2014-01-28,148,Low-Performers,298,2682,298,295,12,9,9.0000,223.5000
281,All-Purpose Bike Stand,Accessories,Bike Stands,59,2014-01-28,148,Mid-Range,249,39591,249,243,13,159,159.0000,3045.4615
282,LL Mountain Tire,Accessories,Tires and Tubes,9,2014-01-28,148,Mid-Range,860,21550,862,828,12,25,25.0581,1795.8333
283,ML Mountain Tire,Accessories,Tires and Tubes,11,2014-01-28,148,Mid-Range,1160,34800,1160,1160,12,30,30.0000,2900.0000
284,HL Mountain Tire,Accessories,Tires and Tubes,13,2014-01-28,148,Mid-Range,1395,48860,1396,1395,13,35,35.0251,3758.4615
285,LL Road Tire,Accessories,Tires and Tubes,8,2014-01-28,148,Mid-Range,1043,21903,1043,1029,13,21,21.0000,1684.8462
286,ML Road Tire,Accessories,Tires and Tubes,9,2014-01-28,148,Mid-Range,925,23125,925,890,12,25,25.0000,1927.0833
287,HL Road Tire,Accessories,Tires and Tubes,12,2014-01-28,148,Mid-Range,858,28314,858,820,13,33,33.0000,2178.0000
288,Touring Tire,Accessories,Tires and Tubes,11,2014-01-25,148,Mid-Range,935,27115,935,920,12,29,29.0000,2259.5833
289,Mountain Tire Tube,Accessories,Tires and Tubes,2,2014-01-28,148,Mid-Range,3092,15465,3093,2958,13,5,5.0016,1189.6154
290,Road Tire Tube,Accessories,Tires and Tubes,1,2014-01-28,148,Low-Performers,2375,9500,2375,2225,13,4,4.0000,730.7692
291,Touring Tire Tube,Accessories,Tires and Tubes,2,2014-01-28,148,Low-Performers,1487,7435,1487,1410,13,5,5.0000,571.9231
292,Classic Vest- L,Clothing,Vests,24,2014-01-28,148,Mid-Range,195,12480,195,195,12,64,64.0000,1040.0000
293,Classic Vest- M,Clothing,Vests,24,2014-01-27,148,Mid-Range,199,12736,199,199,12,64,64.0000,1061.3333
294,Classic Vest- S,Clothing,Vests,24,2014-01-28,148,Mid-Range,168,10944,171,168,12,64,65.1429,912.0000
295,Water Bottle - 30 oz.,Accessories,Bottles and Cages,2,2014-01-28,148,Mid-Range,4244,21245,4249,4073,13,5,5.0059,1634.2308
